"","alpha_2_code","alpha_3_code","latitude","longitude"
"216","ES"," ESP",28.4192476247791,-15.9201366716264
"217","LK"," LKA",7.71958621373421,80.6537639129039
"218","SD"," SDN",15.6706023098426,29.9514582835941
"219","SR"," SUR",4.09872359592017,-55.8555143115613
"220","SJ"," SJM",76.4856439829183,13.3601633161115
"221","SZ"," SWZ",-26.5625409356087,31.510685746082
"222","SE"," SWE",62.4654115120591,17.277289833215
"223","CH"," CHE",46.7367812868494,8.28692879489529
"224","SY"," SYR",35.0975110605832,38.5117323139514
"225","TW"," TWN",NA,NA
"226","TW"," TWN",NA,NA
"227","TJ"," TJK",38.5693313838297,70.942152810657
"228","TZ"," TZA",-6.35360420423765,34.9357426476848
"229","TH"," THA",13.5964750254222,101.068606214756
"230","TL"," TLS",-8.79883964694167,125.668173977829
"231","TG"," TGO",8.66074303771781,0.899085757110968
"232","TK"," TKL",-9.19517476725654,-171.852659507227
"233","TO"," TON",-20.0592509350529,-174.682176519342
"234","TT"," TTO",10.5800557629749,-61.2197021599914
"235","TN"," TUN",34.0863617956572,9.65587551697984
"236","TR"," TUR",39.0909722528442,35.09557205929
"237","TM"," TKM",39.0606911800143,58.4577357627054
"238","TC"," TCA",21.7145641469767,-71.5874961978158
"239","TV"," TUV",-7.07758726489965,177.790863246037
"240","UG"," UGA",1.28217292184162,32.3437176846312
"241","UA"," UKR",48.6575325155638,31.2737720844264
"242","AE"," ARE",24.1825029230913,54.2792052578958
"243","GB"," GBR",54.9008322786185,-3.15699556322275
"244","US"," USA",42.4642718690494,-127.763857440904
"245","UM"," UMI",15.4211242156145,-61.9849355720748
"246","UY"," URY",-32.7819504383109,-56.0191952345808
"247","UZ"," UZB",41.4879065244633,63.8548297593985
"248","VU"," VUT",-16.4796583268605,168.034014970435
"249","VE"," VEN",7.16282059783679,-66.3611235270097
"250","VE"," VEN",7.16282059783679,-66.3611235270097
"251","VN"," VNM",16.3742910503919,105.791103204542
"252","VN"," VNM",16.3742910503919,105.791103204542
"253","VG"," VGB",18.4466279828583,-64.5174186635908
"254","VI"," VIR",17.9974117028822,-64.8223722946981
"255","WF"," WLF",-13.7925719946,-177.162999927831
"256","EH"," ESH",NA,NA
"257","YE"," YEM",15.2505982691395,48.4712149337138
"258","ZM"," ZMB",-13.1628329531862,27.755213634309
"259","ZW"," ZWE",-18.9270012198147,29.7178296407208
