,country,code,region,pop_100k,max_new_tests_cap_avg,cap_cum_tests,cum_tpr,dx_testing_capacity,ngs_capacity,sequencing_capacity,total_sequences,submission_count,total_viable_sequences,all_cases,percent_cases_sequenced,sequences_per_capita_per_100k,sars_cov_2_sequencing,cases_newly_reported_in_last_7_days_per_100000_population,world_bank_economies,archetype_full,archetype,label,dx_testing_capacity_clean,sequencing_capacity_clean,sars_cov_2_sequencing_clean,month,who_testing_capacity,owid_testing_capacity_cat,archetype_clean
37,Myanmar,MMR,South-East Asia,544.1,38.18,6036.0907921338,0.104965019272361,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,74,75,31.0,326489.0,0.02,0.14,1-499 sequences,38.06,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
38,Nepal,NPL,South-East Asia,291.37,65.19,12838.7170951024,0.194013500259435,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,168,184,161.0,712740.0,0.02,0.58,1-499 sequences,36.79,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,August,0 - Unreliable,1 - Reliable,
39,Niger,NER,Africa,242.07,2.52,557.289213863758,0.0423711852219743,Reliable testing capacity,,0 NGS facilities or equivalent,24,24,23.0,5682.0,0.42,0.1,1-499 sequences,0.15,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
40,Nigeria,NGA,Africa,2061.4,5.75,1256.00562724362,0.0697767203655282,Reliable testing capacity,2.0,4+ NGS facilities or equivalent,943,997,937.0,177615.0,0.53,0.46,500+ sequences,0.24,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,4+ NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
41,Pakistan,PAK,Eastern Mediterranean,2208.92,23.87,7522.28690943991,0.065593673135682,Reliable testing capacity,2.0,4+ NGS facilities or equivalent,463,471,405.0,1067580.0,0.04,0.21,1-499 sequences,3.91,Lower middle income,3 - Leverage,Leverage,– Leverage existing NGS capacity,Reliable testing capacity,4+ NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
42,Papua New Guinea,PNG,Western Pacific,89.47,9.63,1647.84844081815,0.120773503896685,Unreliable testing capacity,,0 NGS facilities or equivalent,328,555,328.0,17774.0,1.85,3.67,1-499 sequences,0.6,Lower middle income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,500+ sequences,August,0 - Unreliable,1 - Reliable,
43,Philippines,PHL,Western Pacific,1095.81,54.23,15756.4395287504,0.0984800589178866,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,5328,5329,5323.0,1649341.0,0.32,4.86,500+ sequences,34.28,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
44,Republic of the Congo,COG,Africa,55.18,17.51,3527.14751721638,0.0686232196806215,Reliable testing capacity,,0 NGS facilities or equivalent,219,7,430.0,26432.0,0.83,3.97,1-499 sequences,1.72,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
45,Rwanda,RWA,Africa,129.52,116.71,16987.7856701668,0.0355880992138195,Reliable testing capacity,,0 NGS facilities or equivalent,485,485,472.0,75643.0,0.64,3.74,1-499 sequences,59.1,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
46,Samoa,WSM,Western Pacific,1.98,,0.0,,Unreliable testing capacity,,0 NGS facilities or equivalent,0,0,0.0,3.0,0.0,0.0,0 sequences,0.0,Upper middle income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,0 sequences,August,0 - Unreliable,,
47,Senegal,SEN,Africa,167.44,18.73,4181.38437649307,0.0993756882640534,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,521,522,512.0,66898.0,0.78,3.11,500+ sequences,7.81,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
48,Sierra Leone,SLE,Africa,79.77,10.27,2621.54945468221,0.0302791207004557,Unreliable testing capacity,1.0,1-3 NGS facilities or equivalent,36,36,36.0,6313.0,0.57,0.45,1-499 sequences,3.66,Low income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,1-3 NGS facilities or equivalent,1-499 sequences,August,0 - Unreliable,1 - Reliable,
49,Solomon Islands,SLB,Western Pacific,,,,,Reliable testing capacity,,0 NGS facilities or equivalent,0,0,0.0,20.0,0.0,0.0,0 sequences,0.0,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,0 sequences,August,1 - Reliable,1 - Reliable,
50,South Sudan,SSD,Africa,111.94,14.4,2028.05074146864,0.0490837811646551,Reliable testing capacity,,0 NGS facilities or equivalent,59,60,59.0,11100.0,0.53,0.53,1-499 sequences,0.4,Low income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,1 - Reliable,1 - Reliable,
51,Sri Lanka,LKA,South-East Asia,214.13,71.64,11136.9028160463,0.14471903704589,Reliable testing capacity,1.0,1-3 NGS facilities or equivalent,779,874,779.0,326043.0,0.24,3.64,500+ sequences,35.98,Lower middle income,4 - Strengthen,Strengthen,– Build additional NGS capacity for scale-up,Reliable testing capacity,1-3 NGS facilities or equivalent,500+ sequences,August,1 - Reliable,1 - Reliable,
52,Sudan,SDN,Eastern Mediterranean,438.49,5.39,671.917261511095,0.127387324397802,Unreliable testing capacity,,0 NGS facilities or equivalent,0,0,0.0,37138.0,0.0,0.0,0 sequences,0.22,Low income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,0 sequences,August,0 - Unreliable,1 - Reliable,
53,Tanzania,TZA,Africa,597.34,0.77,317.983058224797,0.00719685802131154,Reliable testing capacity,,0 NGS facilities or equivalent,0,0,0.0,1017.0,0.0,0.0,0 sequences,0.0,Lower middle income,2 - Connect,Connect,– Set-up sample referral networks or build NGS capacity from scratch,Reliable testing capacity,0 NGS facilities or equivalent,0 sequences,August,1 - Reliable,1 - Reliable,
54,Togo,TGO,Africa,82.79,18.29,5149.87317308854,0.0408905192350091,Unreliable testing capacity,,0 NGS facilities or equivalent,125,129,123.0,16728.0,0.75,1.51,1-499 sequences,2.69,Low income,1 - Test,Test,– Increase diagnostic testing capacity,Unreliable testing capacity,0 NGS facilities or equivalent,1-499 sequences,August,0 - Unreliable,1 - Reliable,
